	2009.0417713901377
Wee Sun Lee	2007.35
Krishnendu Chakrabarty	2004.0
Bradford J. May	2002.0
Trevor Darrell	2008.9565217391305
Adam Herout	2012.0
Xinjie Zhu	2013.0
Fuzong Lin	2005.0
Chunwei Song	2013.0
Leah S. Larkey	2003.0
Lun-Ping Hung	2009.0
William Z. Chen	2013.0
Behzad Kamgar-Parsi	2005.3333333333333
Kenton Ross	2008.0
Simon Hawe	2013.0
Georg P. Schoenherr	2014.0
Haixiang Guo	2006.0
Samuel Burer	2005.0
Zdenek Kalal	2010.0
Jelena Stojanovic	2015.0
Hossein Vahabi	2012.0
Xin Dang	2011.0
Kenji Inose	2009.0
Aaron Michaux	2013.0
David Andre	2000.0
Yuto Tsunekawa	2013.0
Linda H. Zhao	2009.0
Gerald Schaefer	2003.3333333333333
William T. Freeman	2007.9565217391305
Matthew D. Pearson	2006.0
Andrew T. Campbell	2011.0
Rogério Patricio Chagas do Nascimento	2008.0
Bonnie Kermgard	2012.5
Jan Krogsgaard	2013.0
Chun Kit Chui	2008.4
Yu Tsao	2014.0
Erik Mellegârd	2011.0
Takahira Yamaguchi	2006.0
Claudia Niederée	2013.3333333333333
Sergei O. Kuznetsov	2012.0
Huiru Zheng	2010.0
Suhail Ansari	2001.0
Chong-Wah Ngo	2011.8333333333333
P. Krishna Gummadi	2011.0
Maryam Jaberi	2015.0
G. Carleton Ray	2013.0
Ling-Cai Dong	2012.0
Seung Jae Lim	2014.0
Pamela K. Douglas	2011.0
Eric Brill	2004.7142857142858
Parichey Gandhi	2008.0
Thuy Thanh Nguyen	2011.0
Volkan Cevher	2011.7777777777778
Shoaib Jameel	2013.0
John S. Kinnebrew	2014.0
James N. K. Liu	2007.1666666666667
Dimitrios Kotsakos	2014.0
Juan Carlos Tapia	2010.0
Julian Laub	2004.0
Ricky Der	2005.0
Ashton Anderson	2012.0
Mark Johnson	2006.7142857142858
Abbas Z. Kouzani	2010.0
Jan Erik Solem	2006.6
Feza Baskaya	2012.0
Moustafa A. Hammad	2007.0
Sergiu Nedevschi	2014.0
Hong Qin	2009.9
David A. Torres	2007.0
Peter Dews	2012.0
Pei Huang	2014.0
Bilegsaikhan Naidan	2013.0
Marko Grobelnik	2006.0
Roman Shapovalov	2013.0
Shangfei Wang	2013.0
George Brova	2014.0
Barbara L. Loeding	2008.0
Guangzhi Cao	2008.0
Huibo Liu	2010.0
Sumio Yokomitsu	2012.0
Chuan He	2011.0
Tian Huang	2015.0
Rodolphe Sepulchre	2011.0
Karlheinz Meier	2007.0
Ye Xu	2010.3333333333333
Rodolphe Priam	2006.0
Sebastian Gerwinn	2008.5
Rangding Wang	2014.0
Sanketh Shetty	2014.0
Niloofar Gheissari	2006.0
Lada A. Adamic	2014.75
Nicola Barbieri	2012.375
Carlos Segura	2008.5
Jianxin Wu	2009.6666666666667
Eric Royer	2008.5
Chang Yuan	2006.5
Fayao Liu	2015.0
Gabriele Tolomei	2011.0
Dennis K. J. Lin	2011.0
Linda Ness	2015.0
Le Van Quoc Anh	2012.0
Christoph Guetter	2006.0
Chinmay Karande	2011.0
Carolina Galleguillos	2009.0
Christian Köhler 0003	2004.0
Joseph G. Makin	2014.0
Benedicte Bascle	2000.0
G. Karetka	2003.0
Wei Cao	2012.5
Zhiyong Li 0006	2007.0
Slava Kisilevich	2010.0
Shengrui Wang	2010.8181818181818
Manohar Paluri	2014.5
Shan Huang	2014.0
Peter J. F. Lucas	2007.0
Jochen Braun	2001.0
Vojkan Mihajlovic	2006.0
Georgios I. Papadimitriou	2008.0
Richard Butterworth	2005.0
Nicholas Kittens	2013.0
Rajat Gupta	2003.0
Haoxiang Li	2014.25
Olga Arkhipova	2014.5
Wei Feng	2011.6666666666667
Dianne P. O'Leary	2006.5
Suzan Verberne	2009.857142857143
Jun Wang 0012	2009.7272727272727
Desney S. Tan	2008.0
Kiyoshi Izumi	2010.0
Savina Andonova	2003.0
Zuowei Shen	2010.5
Jie Gao	2005.0
Xu Xiang	2006.0
Brad Davis	2012.0
Laura Dietz	2010.0
Antonio Albano	2000.0
Sue E. Johnson	2000.0
Yanchuan Sim	2015.0
Benjamin Goodrich	2012.0
Henk M. Blanken	2004.0
Emilio Miguelanez	2011.0
Can Xu	2014.0
Scott A. Brandt	2001.0
Jean-Philippe Tarel	2008.0
Tetsuro Ito	2001.0
Rohan Nadgir	2008.0
Ryan Riegel	2008.0
Sandra Duss	2011.0
Mingxuan Yuan	2013.4
Avraham Ruderman	2012.0
Yu Xia 0003	2005.0
Naoyuki Ichimura	2005.0
Michalis Potamias	2013.0
Fumito Masui	2004.0
Jean-David Hsu	2006.0
Christopher Potter	2008.5
Kang Ning	2006.3333333333333
Grzegorz Swirszcz	2009.6
Masanari Takagi	2010.0
Eric M. Meisner	2012.0
